game,platform,developer,genre,rating,release_date,metascore,user_score
Marble It Up!,Switch,Bad Habit Productions,Puzzle,E,2018-09-29,74,74
2064: Read Only Memories INTEGRAL,Switch,MidBoss,Adventure,M,2018-07-26,74,75
Bad North,PC,Plausible Concept,Action,,2018-08-28,74,64
NAIRI: Tower of Shirin,Switch,"Homebear Studios, HomeBearStudio",Puzzle,,2018-11-29,74,74
Dead In Vinland,PC,CCCP,Role-Playing,,2018-04-12,74,75
LEGO The Incredibles,XONE,TT Games,Action Adventure,E10+,2018-06-15,74,69
Paladins: Champions of the Realm,Switch,Hi-Rez Studios,Action,T,2018-06-12,74,74
The Swords of Ditto,PS4,One Bit Beyond,Role-Playing,E10+,2018-04-24,74,66
Bomber Crew,XONE,Runner Duck,Simulation,E10+,2018-07-10,74,55
Shenmue I & II,XONE,"Sega, d3t Ltd",Miscellaneous,T,2018-08-21,74,82
Phantom Doctrine,PC,CreativeForge Games,Strategy,M,2018-08-14,73,74
Disc Jam,Switch,High Horse Entertainment,Sports,E,2018-02-08,73,73
11-11: Memories Retold,PC,Digixart Entertainment,Adventure,T,2018-11-08,73,69
NBA Live 19,PS4,"EA Sports, EA Tiburon",Sports,E,2018-09-07,73,65
A Normal Lost Phone,Switch,Plug In Digital,Simulation,M,2018-03-01,73,70
Quarantine Circular,PC,Mike Bithell,Adventure,,2018-05-22,73,71
Battlefield V,PS4,EA DICE,Action,,2018-11-15,73,21
Phantom Doctrine,PS4,CreativeForge Games,Strategy,M,2018-08-14,73,63
Assassin's Creed Origins: The Hidden Ones,PS4,Ubisoft Montreal,Action Adventure,M,2018-01-23,73,70
Sega Genesis Classics,XONE,Various,Miscellaneous,T,2018-05-29,73,73
Farming Simulator 19,PC,Giants Software,Simulation,E,2018-11-19,73,65
Call of Duty: WWII - The War Machine,PS4,Sledgehammer Games,Action,,2018-04-10,73,17
Apocalipsis,PC,Punch Punk Games,Adventure,,2018-03-01,73,68
Persona 3: Dancing in Moonlight,PS4,Atlus,Action,T,2018-12-04,73,60
State of Mind,XONE,Daedalic Entertainment,Action Adventure,M,2018-08-15,73,80
The Council - Episode 1: The Mad Ones,PC,Big Bad Wolf,Adventure,M,2018-03-13,73,73
Road Redemption,Switch,"Dark Seas Games, EQ Games",Simulation,,2018-11-06,73,70
Battle Princess Madelyn,PC,Causal Bit Games,Action,,2018-12-05,73,67
Mulaka,XONE,Lienzo,Action Adventure,T,2018-03-02,73,64
Kirby Star Allies,Switch,HAL Labs,Action,E10+,2018-03-16,73,74
The Escapists 2,Switch,"Team 17, Mouldy Toof Studios",Action,T,2018-01-11,73,70
Runner3,Switch,Choice Provisions,General,E10+,2018-05-22,73,74
World to the West,Switch,Rain Games,Action Adventure,E10+,2018-01-18,73,73
Strange Brigade,PS4,Rebellion,Action,T,2018-08-28,73,55
Surviving Mars,PS4,Haemimont Games,Strategy,E10+,2018-03-15,73,59
NBA 2K Playgrounds 2,PS4,Saber Interactive,Sports,,2018-10-16,73,59
Yomawari: The Long Night Collection,Switch,Nippon Ichi Software,Miscellaneous,M,2018-10-30,73,73
Late Shift,Switch,Wales Interactive Ltd.,Adventure,M,2018-04-26,73,66
The Fall Part 2: Unbound,PC,Over The Moon,Action Adventure,T,2018-02-13,73,63
Monster Prom,PC,Beautiful Glitch,Adventure,,2018-04-27,73,67
Pure Farming 2018,XONE,Techland,Simulation,E,2018-03-13,73,70
Old Man's Journey,Switch,Broken Rules,Adventure,E,2018-02-20,73,67
Book of Demons,PC,Thing Trunk,Adventure,,2018-12-13,73,81
Earthlock,Switch,"Snow Castle Games, CrossFunction",Role-Playing,E10+,2018-03-08,73,70
Mulaka,Switch,Lienzo,Action Adventure,T,2018-03-01,73,73
Space Hulk: Tactics,PC,"Cyanide, Cyanide Studios",Strategy,,2018-10-09,73,58
Rad Rodgers,PC,Interceptor Entertainment,Action,M,2018-02-21,73,71
Pathfinder: Kingmaker,PC,Owlcat Games,Role-Playing,,2018-09-25,73,73
Last Year: The Nightmare,PC,Elastic Games,Action Adventure,RP,2018-12-18,73,59
The Council,PS4,Big Bad Wolf,Adventure,M,2018-03-13,73,71
Immortal Redneck,PS4,"CremaGames, Crema Games",Action,M,2018-02-27,73,60
Wizard of Legend,PS4,Contingent99,Role-Playing,E10+,2018-05-15,73,62
Fe,PC,Zoink!,Action,E,2018-02-16,73,51
Stellaris: Apocalypse,PC,Paradox Development Studio,Strategy,,2018-02-22,73,71
Red Faction: Guerrilla Re-Mars-tered,XONE,Volition Inc.,Action,M,2018-07-03,73,44
Digimon Story Cyber Sleuth: Hacker's Memory,PS4,Media Vision,Role-Playing,T,2018-01-19,73,69
LEGO Harry Potter Collection,Switch,Warner Bros. Interactive Entertainment,Miscellaneous,E10+,2018-10-30,73,73
Persona 5: Dancing in Starlight,PS4,Atlus,Action,T,2018-12-04,72,78
Mushroom Wars 2,Switch,Zillion Whales,Strategy,E,2018-07-05,72,74
LEGO DC Super-Villains,XONE,TT Games,Action Adventure,E10+,2018-10-16,72,70
Regalia: Of Men and Monarchs - Royal Edition,Switch,Pixelated Milk,Strategy,T,2018-04-12,72,61
Mothergunship,PC,Grip Digital,Action,T,2018-07-17,72,73
Burly Men At Sea,Switch,Brain&Brain,Adventure,E10+,2018-04-12,72,53
Shadows: Awakening,PS4,Kalypso,Action,T,2018-09-04,72,55
Chasm,PC,Discord Games,Action,T,2018-07-30,72,59
The Adventure Pals,PS4,Massive Monster,Action,E10+,2018-04-03,72,61
The Golf Club 2019 featuring PGA Tour,PC,HB Studios Multimedia,Sports,E,2018-08-28,72,48
PixelJunk Monsters 2,PS4,"Spike Chunsoft, Q-Games",Strategy,E10+,2018-05-18,72,70
Attack on Titan 2,Switch,Omega Force,Action,M,2018-03-20,72,72
Planet Alpha,PC,Adrian Lazar,Action,,2018-09-04,72,70
Zarvot,Switch,Snowhydra llc,Action,,2018-10-18,72,70
Super Daryl Deluxe,Switch,Dan & Gary Games,Role-Playing,T,2018-04-10,72,68
The Raven Remastered,PS4,THQ Nordic,Adventure,T,2018-03-13,72,48
Sword Art Online: Fatal Bullet,XONE,Dimps Corporation,Action,T,2018-02-23,72,72
Apex Construct,PS4,Fast Travel Games,Action,E10+,2018-02-20,72,70
Flood of Light,Switch,Irisloft,Adventure,E,2018-08-23,72,73
Warriors Orochi 4,PS4,Omega Force,Action,T,2018-10-16,72,72
Candle: The Power of the Flame,Switch,Teku Studios ,Action,E10+,2018-07-26,72,74
Fist of the North Star: Lost Paradise,PS4,Ryu ga Gotoku Studios,Action,M,2018-10-02,72,78
Smoke and Sacrifice,Switch,Solar Sail Games,Action Adventure,E10+,2018-05-31,72,66
Rogue Aces,PS4,Infinite State Games,Action,E10+,2018-04-12,72,49
Just Dance 2019,Switch,Ubisoft Paris,Action,E,2018-10-23,72,58
Fe,Switch,Zoink!,Action,E,2018-02-16,72,71
The Station,PC,The Station,Adventure,,2018-02-19,72,65
Lamplight City,PC,Grundislav Games,Adventure,,2018-09-13,72,72
RIDE 3,PS4,"MileStone Inc., Milestone S.r.l",Racing,E,2018-11-30,72,76
Earth Defense Force 5,PS4,Sandlot,Action,M,2018-12-11,72,71
Vampyr,PC,DONTNOD Entertainment,Role-Playing,M,2018-06-04,72,69
Shu,Switch,Coatsink Software,Action,E,2018-01-23,72,67
PlayerUnknown's Battlegrounds,PS4,PUBG Corporation,Action,T,2018-12-07,72,33
Planet Alpha,XONE,Adrian Lazar,Action,T,2018-09-04,72,62
Far Cry 5: Hours of Darkness,PC,Ubisoft Montreal,Action,M,2018-06-05,72,36
Dandara,Switch,"Raw Fury, Long Hat House",Action,E,2018-02-06,72,73
Light Fall,Switch,Bishop Games,Action,E10+,2018-04-26,72,73
Borderlands 2 VR,PS4,Gearbox Software,Action,M,2018-12-14,72,76
The Walking Dead: The Telltale Series - The Final Season Episode 1: Done Running,XONE,Telltale Games,Adventure,,2018-08-14,72,76
de Blob,Switch,Blue Tongue Entertainment,Action,E,2018-06-26,72,74
Capcom Beat 'Em Up Bundle,PS4,Capcom,Miscellaneous,T,2018-09-18,71,42
World of Final Fantasy Maxima,PS4,Square Enix,Role-Playing,E10+,2018-11-06,71,73
The Council - Episode 3: Ripples,PC,Big Bad Wolf,Adventure,,2018-07-24,71,58
Call of Duty: WWII - The Resistance,PS4,Sledgehammer Games,Action,M,2018-01-30,71,28
Assassin's Creed Rogue Remastered,XONE,Ubisoft,Action Adventure,M,2018-03-20,71,68
Zone of the Enders: The 2nd Runner MARS,PS4,Cygames,Simulation,T,2018-09-04,71,77
Xeodrifter,Switch,Atooi LLC,Action,E,2018-02-15,71,59
The Bard's Tale IV: Barrows Deep,PC,InXile Entertainment,Role-Playing,,2018-09-18,71,67
Leisure Suit Larry: Wet Dreams Don't Dry,PC,CrazyBunch,Adventure,,2018-11-07,71,65
Attack of the Earthlings,PC,Team Junkfish,Strategy,,2018-02-08,71,70
Gray Dawn,PC,Interactive Stone,Adventure,,2018-06-07,71,75
"Warhammer 40,000: Inquisitor - Martyr",XONE,Maximum Games,Strategy,M,2018-07-05,71,39
"Warhammer 40,000: Gladius - Relics of War",PC,Proxy Studios,Strategy,,2018-07-12,71,75
GRIP: Combat Racing,PS4,Caged Element Inc.,Racing,E10+,2018-11-06,71,61
Transference,PS4,SpectreVision,Adventure,M,2018-09-18,71,50
Pool Panic,Switch,Rekim,Action Adventure,E10+,2018-07-19,71,73
Happy Birthdays,Switch,Arc System Works,Action Adventure,E,2018-06-05,71,70
Bridge Constructor Portal,Switch,ClockStone Software,Simulation,E,2018-02-28,71,73
Hexologic,Switch,MythicOwl,Puzzle,E,2018-06-12,71,68
Bad North,Switch,Plausible Concept,Action,T,2018-08-20,71,70
Devil May Cry HD Collection,XONE,"Pipeworks Software, Inc., NeoBards Entertainment",Miscellaneous,M,2018-03-13,71,69
Assassin's Creed Rogue Remastered,PS4,Ubisoft,Action Adventure,M,2018-03-20,71,60
Tesla vs Lovecraft,PS4,10tons,Action,T,2018-03-13,71,61
Bendy and the Ink Machine,PS4,TheMeatly Games,Adventure,T,2018-11-20,71,57
Death's Gambit,PC,White Rabbit Interactive,Role-Playing,,2018-08-13,71,75
Cold Iron,PS4,Catch & Release,Action Adventure,T,2018-01-30,71,77
Cultist Simulator,PC,Weather Factory,Strategy,,2018-05-31,71,73
Not Tonight,PC,Panic Barn Ltd,Strategy,,2018-08-17,71,65
Space Hulk: Tactics,XONE,"Cyanide, Cyanide Studios",Strategy,M,2018-10-09,71,77
The Walking Dead: The Telltale Series - The Final Season Episode 2: Suffer the Children,PS4,Telltale Games,Adventure,M,2018-09-25,71,63
FOX n FORESTS,XONE,Bonus Level Entertainment,Action,E10+,2018-05-30,71,87
Membrane,Switch,Perfect Hat,Puzzle,E,2018-02-22,71,74
A Robot Named Fight!,Switch,Matt Bitner,Action,T,2018-04-26,71,73
Megadimension Neptunia VIIR,PS4,Compile Heart,Role-Playing,T,2018-05-08,71,66
Death's Gambit,PS4,White Rabbit Interactive,Role-Playing,T,2018-08-14,71,70
Masters of Anima,PC,Passtech Games,Strategy,,2018-04-10,71,52
Squishies,PS4,Brainseed Factory,Action,,2018-11-20,71,60
Detective Pikachu,3DS,Creatures Inc.,Adventure,E,2018-03-23,71,76
FIFA 19,Switch,EA Sports,Sports,E,2018-09-25,71,34
39 Days to Mars,PC,It's Anecdotal,Puzzle,,2018-04-25,71,46
Crossing Souls,PC,Fourattic,Action Adventure,T,2018-02-13,70,64
H1Z1,PC,Daybreak Games,Action,T,2018-02-28,70,41
oOo: Ascension,XONE,Kenny Creanor,Action,,2018-05-25,70,73
Below,PC,Capy Games,Action,,2018-12-14,70,70
Starlink: Battle for Atlas,PS4,Ubisoft Toronto,Simulation,E10+,2018-10-16,70,54
Just Cause 4,XONE,Avalanche Studios,Action Adventure,M,2018-12-04,70,61
Fable Fortune,XONE,Mediatonic,Strategy,T,2018-02-22,70,63
Darksiders III,PC,"Gunfire Games, THQ Nordic",Action Adventure,M,2018-11-27,70,75
Marvel's Spider-Man: Turf Wars,PS4,Insomniac Games,Action Adventure,T,2018-11-20,70,58
Bendy and the Ink Machine,XONE,TheMeatly Games,Adventure,,2018-11-20,70,82
Fe,PS4,Zoink!,Action,E,2018-02-16,70,68
Nobunaga's Ambition: Taishi,PS4,Koei Tecmo Games,Strategy,T,2018-06-05,70,53
Regalia: Of Men and Monarchs - Royal Edition,PS4,Pixelated Milk,Strategy,T,2018-04-10,70,50
Rick and Morty: Virtual Rick-ality,PS4,Owlchemy Labs,Simulation,M,2018-04-10,70,49
Deep Sky Derelicts,PC,Snowhound Games,Role-Playing,,2018-09-26,70,54
The Fall,Switch,Over The Moon,Action Adventure,T,2018-05-10,70,74
Naruto Shippuden: Ultimate Ninja Storm Trilogy,Switch,Bandai Namco Games,Miscellaneous,T,2018-04-26,70,72
Stikbold! Dodgeball Adventure! Deluxe,Switch,Game Swing,Action,E,2018-01-04,70,70
60 Parsecs!,PC,Robot Gentleman,Adventure,,2018-09-18,70,63
Dandara,PC,Long Hat House,Action,,2018-02-06,70,72
Graveyard Keeper,XONE,Lazy Bear Games,Action Adventure,T,2018-08-15,70,50
The Council - Episode 2: Hide and Seek,PC,Big Bad Wolf,Adventure,,2018-05-15,70,71
Vampyr,PS4,DONTNOD Entertainment,Role-Playing,M,2018-06-05,70,72
Below,XONE,Capy Games,Action,T,2018-12-14,70,71
Fe,XONE,Zoink!,Action,E,2018-02-16,70,73
Red Faction: Guerrilla Re-Mars-tered,PS4,Volition Inc.,Action,M,2018-07-03,70,50
Shining Resonance Refrain,Switch,Sega,Role-Playing,T,2018-07-10,70,78
My Memory of Us,PC,Juggler Games,Action,,2018-10-09,70,67
The Last Remnant Remastered,PS4,Square Enix,Role-Playing,M,2018-12-06,70,62
Vampyr,XONE,DONTNOD Entertainment,Role-Playing,M,2018-06-05,70,69
Iris.Fall,PC,Next Studio,Adventure,,2018-12-07,70,67
The Fall Part 2: Unbound,Switch,Over The Moon,Action Adventure,T,2018-02-13,70,71
Little Dragons Cafe,Switch,Aksys Games,Strategy,E10+,2018-08-24,70,72
City of Brass,PC,Uppercut Games Pty Ltd,Action Adventure,,2018-05-04,69,39
Pure Farming 2018,PC,Ice Flames,Simulation,E,2018-03-13,69,72
Light Fall,PC,Bishop Games,Action,,2018-04-26,69,68
Kingdom Come: Deliverance,PS4,Warhorse Studios,Historic,M,2018-02-13,69,72
Battle Princess Madelyn,XONE,Causal Bit Games,Action,E,2018-12-06,69,64
Age of Empires: Definitive Edition,PC,Microsoft Game Studios,Strategy,T,2018-02-20,69,50
GRIP: Combat Racing,XONE,Caged Element Inc.,Racing,E10+,2018-11-06,69,60
My Hero One's Justice,Switch,Bandai Namco Games,Action,T,2018-10-26,69,70
Mercenary Kings: Reloaded Edition,Switch,Tribute Games,Action,T,2018-02-06,69,72
Graveyard Keeper,PC,Lazy Bear Games,Action Adventure,,2018-08-15,69,68
Nintendo Labo: Toycon 03 Vehicle Kit,Switch,Nintendo,Miscellaneous,E,2018-09-14,69,72
Jurassic World Evolution,PC,Frontier Developments,Strategy,T,2018-06-11,69,72
Earth Atlantis,XONE,Pixel Perfex,Action,E,2018-06-01,69,81
LEGO The Incredibles,PS4,TT Games,Action Adventure,E10+,2018-06-15,69,46
Lost Sphear,Switch,Tokyo RPG Factory,Role-Playing,E10+,2018-01-23,69,73
Lost Sphear,PC,Tokyo RPG Factory,Role-Playing,E10+,2018-01-23,69,65
Sea of Thieves,XONE,Rare Ltd.,Role-Playing,T,2018-03-20,69,50
The Spectrum Retreat,XONE,Dan Smith Studios,Adventure,T,2018-07-13,69,60
Rust,PC,Facepunch Studios,Historic,,2018-02-08,69,62
Disco Dodgeball Remix,Switch,Zen Studios,Sports,E10+,2018-05-22,69,73
The Crew 2,XONE,Ubisoft Ivory Tower,Racing,T,2018-06-26,69,50
ChromaGun,Switch,Pixel Maniacs,Action,E10+,2018-01-22,69,63
Megaquarium,PC,Twice Circled,Strategy,,2018-09-13,69,71
FOX n FORESTS,PC,Bonus Level Entertainment,Action,,2018-05-17,69,74
State of Decay 2,PC,Undead Labs,Action Adventure,M,2018-05-22,69,46
The Walking Dead: The Telltale Series - The Final Season Episode 2: Suffer the Children,PC,Telltale Games,Adventure,,2018-09-25,69,73
Dillon's Dead-Heat Breakers,3DS,"Nintendo, Vanpool",Action,E10+,2018-05-24,69,74
State of Mind,PC,Daedalic Entertainment,Action Adventure,M,2018-08-15,69,74
Final Fantasy XV Pocket Edition HD,Switch,Square Enix,Role-Playing,T,2018-09-13,69,73
Danger Zone 2,XONE,Three Fields Entertainment,Racing,E10+,2018-07-10,69,60
Darksiders III,XONE,"Gunfire Games, THQ Nordic",Action Adventure,M,2018-11-27,69,73
Manticore: Galaxy on Fire,Switch,Deep Silver,Simulation,T,2018-04-19,69,72
Monster Energy Supercross: The Official Videogame,XONE,Milestone S.r.l,Racing,E,2018-02-13,69,83
Conan Exiles,PC,Funcom,Action Adventure,,2018-05-08,68,64
Empires Apart,PC,DESTINYbit,Strategy,,2018-03-29,68,43
Lost Sphear,PS4,Tokyo RPG Factory,Role-Playing,E10+,2018-01-23,68,69
Steel Rats,PC,Tate Multimedia,Simulation,,2018-11-07,68,71
Warriors Orochi 4,XONE,Koei Tecmo Games,Action,T,2018-10-16,68,73
Danger Zone 2,PS4,Three Fields Entertainment,Racing,E10+,2018-07-13,68,41
MARVEL Powers United VR,PC,Sanzaru Games,Action,,2018-07-26,68,62
The Spectrum Retreat,PC,Dan Smith Studios,Adventure,,2018-07-13,68,52
Mercenaries Saga Chronicles,Switch,"RideonJapan,Inc.",Strategy,T,2018-02-08,68,72
Deracine,PS4,From Software,Adventure,T,2018-11-06,68,78
Heroki,Switch,Picomy,Action,E,2018-07-20,68,72
Remothered: Tormented Fathers,XONE,Stormind Games,Action Adventure,M,2018-07-25,68,86
de Blob 2,PS4,Blue Tongue Entertainment,Action,E10+,2018-02-27,68,57
Strange Brigade,PC,Rebellion,Action,T,2018-08-28,68,68
Frantics,PS4,"Sony Interactive Entertainment, NapNok Games",Miscellaneous,E,2018-03-06,68,78
Killing Floor: Incursion,PS4,Tripwire Interactive,Action,M,2018-05-01,68,52
Way of the Passive Fist,XONE,Household Games Inc.,Action,T,2018-03-07,68,77
Home Sweet Home,PS4,Mastiff,Action Adventure,M,2018-10-16,68,48
Typoman: Revised,Switch,Brainseed Factory,Action,E10+,2018-02-22,68,61
Kingdom Come: Deliverance,XONE,Warhorse Studios,Historic,M,2018-02-13,68,75
NASCAR Heat 3,XONE,704Games,Racing,E10+,2018-09-07,68,83
The Council - Episode 3: Ripples,PS4,Big Bad Wolf,Adventure,M,2018-07-24,68,63
The 25th Ward: The Silver Case,PS4,Grasshopper Manufacture,Adventure,M,2018-03-13,68,50
TSIOQUE,PC,OhNoo,Adventure,,2018-11-07,68,82
TT Isle of Man,PC,Kylotonn,Racing,E,2018-03-27,68,46
Nintendo Labo: Toycon 02 Robot Kit,Switch,Nintendo,Miscellaneous,E10+,2018-04-20,68,64
TT Isle of Man: Ride On The Edge,XONE,"Kylotonn, Maximum Games",Racing,E,2018-03-06,68,77
1979 Revolution: Black Friday,PS4,iNK Stories,Adventure,M,2018-07-31,68,49
Saturday Morning RPG,Switch,"Joystick Labs, LLC",Role-Playing,E10+,2018-04-26,68,69
Seeking Dawn,PC,"Multiverse Games, Multiverse",Action Adventure,,2018-07-12,68,76
Genital Jousting,PC,Free Lives,Miscellaneous,,2018-01-18,68,76
Strikers Edge,PS4,Fun Punch Games,Action,T,2018-01-30,68,52
My Hero One's Justice,PS4,Bandai Namco Games,Action,T,2018-10-26,68,75
Just Cause 4,PC,Avalanche Studios,Action Adventure,M,2018-12-04,68,51
Conan Exiles,PS4,Funcom,Action Adventure,M,2018-05-08,68,55
Smoke and Sacrifice,PC,Solar Sail Games,Action Adventure,E10+,2018-05-31,68,29
Jurassic World Evolution,PS4,Frontier Developments,Strategy,T,2018-06-12,68,70
Pure Farming 2018,PS4,Techland,Simulation,E,2018-03-13,68,66
The Escapists: Complete Edition,Switch,Mouldy Toof Studios,Action,T,2018-09-25,67,68
LEGRAND LEGACY: Tale of the Fatebounds,PC,SEMISOFT,Role-Playing,,2018-01-24,67,69
Super Bomberman R,PS4,Konami,Puzzle,E10+,2018-06-12,67,54
Yo-kai Watch Blasters: Red Cat Corps,3DS,Level 5,Action,E10+,2018-09-07,67,65
Gravel,XONE,Milestone S.r.l,Racing,E,2018-02-27,67,70
InnerSpace,PS4,PolyKnight Games,Simulation,E,2018-01-16,67,48
Mutant Football League: Dynasty Edition,Switch,Nighthawk Interactive,Sports,M,2018-10-30,67,71
We Happy Few,PS4,Compulsion Games,Action Adventure,M,2018-08-10,67,46
Another Sight,PC,Lunar Great Wall Studios,Adventure,,2018-09-06,67,55
Steel Rats,PS4,Tate Multimedia,Simulation,T,2018-11-07,67,68
My Memory of Us,PS4,Juggler Games,Action,E10+,2018-10-09,67,57
Cities: Skylines - Nintendo Switch Edition,Switch,Tantalus,Strategy,E,2018-09-13,67,73
Gravel,PS4,Milestone S.r.l,Racing,E,2018-02-27,67,66
The Thin Silence,PC,TwoPM Studios,Adventure,,2018-04-27,67,73
The Longest Five Minutes,Switch,Nippon Ichi Software,Role-Playing,T,2018-02-13,67,60
Transference,XONE,SpectreVision,Adventure,M,2018-09-18,67,56
Shining Resonance Refrain,PS4,Sega,Role-Playing,T,2018-07-10,67,68
Guns of Icarus Alliance,PS4,Muse Games,Simulation,T,2018-05-01,67,35
Urban Trial Playground,Switch,"Teyon, Tate Multimedia",Sports,E,2018-04-05,67,64
Rad Rodgers,XONE,Slipgate Studios LLC,3D,M,2018-02-21,67,78
"Warhammer 40,000: Inquisitor - Martyr",PC,NeocoreGames,Strategy,M,2018-06-05,67,64
Bus Simulator 18,PC,stillalive studios,Simulation,,2018-06-13,67,66
Call of Cthulhu,PC,"Cyanide, Cyanide Studios",Role-Playing,M,2018-10-29,67,70
Dissidia: Final Fantasy NT,PS4,Team Ninja,Action,T,2018-01-30,67,75
Yo-kai Watch Blasters: White Dog Squad,3DS,Level 5,Action,E10+,2018-09-07,67,64
Red Faction: Guerrilla Re-Mars-tered,PC,Volition Inc.,Action,M,2018-07-03,67,58
Sea of Thieves,PC,Rare Ltd.,Role-Playing,T,2018-03-20,67,41
The Council - Episode 2: Hide and Seek,PS4,Big Bad Wolf,Adventure,M,2018-05-15,67,64
Infernium,Switch,Carlos Coronado,Action Adventure,T,2018-04-05,67,70
Monster Energy Supercross: The Official Videogame,PS4,Milestone S.r.l,Racing,E,2018-02-13,67,71
Super Daryl Deluxe,PS4,Dan & Gary Games,Role-Playing,T,2018-04-10,67,50
City of Brass,XONE,Uppercut Games Pty Ltd,Action Adventure,T,2018-05-05,67,58
Inked,PC,Somnium Games d.o.o.,Adventure,,2018-04-26,67,59
Shape of the World,Switch,Hollow Tree Games,Action Adventure,E10+,2018-06-06,67,64
TT Isle of Man: Ride On The Edge,PS4,"Kylotonn, Maximum Games",Racing,E,2018-03-06,67,65
Save me Mr Tako: Tasukete Tako-San,Switch,Nicalis,Action,,2018-10-30,67,70
V-Rally 4,XONE,Kylotonn,Racing,E,2018-09-11,67,80
The King's Bird,PC,Serenity Forge,Action,,2018-08-23,67,58
Crossing Souls,Switch,Fourattic,Action Adventure,T,2018-07-26,67,70
This is the Police 2,PC,Weappy Studio,Simulation,M,2018-07-31,66,66
Toki,Switch,Microids,Action,E10+,2018-12-04,66,70
State of Mind,PS4,Daedalic Entertainment,Action Adventure,M,2018-08-15,66,52
H1Z1: Battle Royale,PS4,"Sony Online Entertainment, Daybreak Games",Action,T,2018-08-07,66,41
The Crew 2,PC,Ubisoft Ivory Tower,Racing,T,2018-06-28,66,44
Rad Rodgers,PS4,THQ Nordic,Action,M,2018-02-21,66,64
Call of Cthulhu,XONE,"Cyanide, Cyanide Studios",Role-Playing,M,2018-10-30,66,59
Through the Woods,XONE,Antagonist,Action Adventure,M,2018-05-02,66,70
Titan Quest,XONE,THQ Nordic,Role-Playing,T,2018-03-20,66,69
State of Decay 2,XONE,Undead Labs,Action Adventure,M,2018-05-18,66,54
Sinner: Sacrifice for Redemption,XONE,DarkStar Games,Action Adventure,,2018-10-18,66,67
MotoGP 18,PS4,Milestone S.r.l,Racing,E,2018-06-07,66,49
City of Brass,PS4,Uppercut Games Pty Ltd,Action Adventure,T,2018-05-04,66,58
Fallen Legion: Rise to Glory,Switch,YummyYummyTummy,Role-Playing,E10+,2018-05-29,66,69
Code of Princess EX,Switch,Nicalis,Role-Playing,T,2018-07-31,66,68
AO International Tennis,XONE,Big Ant Studios,Sports,E,2018-05-09,66,80
Naruto to Boruto: Shinobi Striker,PC,"CyberConnect2, Soleil",Action,T,2018-08-30,66,65
FOX n FORESTS,Switch,Bonus Level Entertainment,Action,E10+,2018-05-17,66,71
Ash of Gods: Redemption,PC,AurumDust,Strategy,,2018-03-23,65,76
LEGO The Incredibles,Switch,TT Games,Action Adventure,E10+,2018-06-15,65,68
Brawlout,XONE,Angry Mob Games,Beat-'Em-Up,E10+,2018-08-21,65,70
FOX n FORESTS,PS4,Bonus Level Entertainment,Action,E10+,2018-05-17,65,68
Dark Eclipse,PS4,SunSoft,Action,T,2018-09-25,65,67
Punch Line,PS4,5pb,Action,M,2018-10-09,65,46
Antigraviator,PC,Iceberg Interactive,Racing,,2018-06-06,65,49
Just Cause 4,PS4,Avalanche Studios,Action Adventure,M,2018-12-04,65,52
Titan Quest,Switch,THQ Nordic,Role-Playing,T,2018-07-31,65,65
Battle Princess Madelyn,Switch,Causal Bit Games,Action,E,2018-12-20,65,62
Dynasty Warriors 9,PS4,Omega Force,Action,T,2018-02-13,65,40
Knowledge is Power: Decades,PS4,Wish Studios,Miscellaneous,,2018-11-13,64,47
Pokemon Quest,Switch,Game Freak,Role-Playing,E,2018-05-29,64,68
Vesta,Switch,FinalBoss Games,Action Adventure,E,2018-01-19,64,60
The Crew 2,PS4,Ubisoft Ivory Tower,Racing,T,2018-06-26,64,50
Omen of Sorrow,PS4,AOne Games,Action,T,2018-11-06,64,61
Conan Exiles,XONE,Funcom,Action Adventure,M,2018-05-08,64,57
Sword Art Online: Fatal Bullet,PS4,Dimps Corporation,Action,T,2018-02-23,64,72
Farming Simulator 19,PS4,Giants Software,Simulation,E,2018-11-20,64,45
InnerSpace,XONE,PolyKnight Games,Simulation,E,2018-01-16,64,33
Kerbal Space Program: Enhanced Edition,PS4,BlitWorks,Simulation,E,2018-01-16,64,66
Touhou Genso Wanderer Reloaded,Switch,Mediascape,Role-Playing,T,2018-07-17,64,68
Scribblenauts Showdown,PS4,Warner Bros. Interactive Entertainment,Puzzle,E10+,2018-03-06,64,66
Override: Mech City Brawl,XONE,Modus,Action,T,2018-12-04,64,65
NASCAR Heat 3,PS4,"Monster Games Inc., 704Games",Racing,E10+,2018-09-07,64,54
Sleep Tight,Switch,We Are Fuzzy,Action,E10+,2018-07-26,64,60
Mulaka,PS4,Lienzo,Action Adventure,T,2018-02-27,64,71
The Council - Episode 5: Checkmate,PS4,Big Bad Wolf,Adventure,,2018-12-04,64,65
"Warhammer 40,000: Inquisitor - Martyr",PS4,Maximum Games,Strategy,M,2018-08-23,64,62
We Happy Few,XONE,Compulsion Games,Action Adventure,M,2018-08-10,64,53
The Council - Episode 5: Checkmate,PC,Big Bad Wolf,Adventure,,2018-12-04,64,74
Rainbow Skies,PS4,SideQuest Studios,Role-Playing,E10+,2018-06-26,64,55
Super Bomberman R,XONE,Konami,Puzzle,E10+,2018-06-12,63,67
InnerSpace,Switch,PolyKnight Games,Simulation,E,2018-01-16,63,68
Airheart: Tales of Broken Wings,PS4,Blindflug Studios,Action,E10+,2018-07-24,63,57
