game,platform,developer,genre,rating,release_date,metascore,user_score
FlatOut 3: Chaos & Destruction,PC,"Team6 Game Studios, Team 6 Games Studio",Driving,,2011-12-13,23,32
Persona 4 Golden,VITA,Atlus,Role-Playing,M,2012-11-20,93,85
Dishonored,PC,Arkane Studios,Action Adventure,M,2012-10-08,91,84
Mark of the Ninja,PC,Klei Entertainment,Action,M,2012-10-16,91,80
Guild Wars 2,PC,ArenaNet,General,T,2012-08-28,90,81
The Walking Dead: A Telltale Games Series,PC,Telltale Games,Compilation,,2012-04-24,89,87
The Walking Dead: Episode 5 - No Time Left,PC,Telltale Games,Miscellaneous,M,2012-11-21,89,88
Borderlands 2,PC,Gearbox Software,Action,M,2012-09-17,89,82
XCOM: Enemy Unknown,PC,Firaxis Games,Strategy,M,2012-10-08,89,82
Mass Effect 3,PC,BioWare,Role-Playing,M,2012-03-06,89,58
Colors! 3D,3DS,Collecting Smiles,Miscellaneous,E,2012-04-05,89,78
Zero Escape: Virtue's Last Reward,3DS,ChunSoft,Adventure,M,2012-10-23,88,88
Far Cry 3,PC,Ubisoft Montreal,Action,M,2012-12-04,88,83
Rayman Origins,VITA,UBlart Montpellier,Action Adventure,E10+,2012-02-15,88,84
Torchlight II,PC,Runic Games,Role-Playing,,2012-09-20,88,85
Thirty Flights of Loving,PC,Blendo Games,Adventure,,2012-08-20,88,50
Diablo III,PC,Blizzard Entertainment,Role-Playing,M,2012-05-15,88,41
LittleBigPlanet PS Vita,VITA,"Tarsier Studios, Double Eleven",Action,E,2012-09-18,88,86
Max Payne 3,PC,"Rockstar Games, Rockstar Studios",Action,M,2012-05-31,87,77
Battlefield 3: Armored Kill,PC,EA DICE,Action,M,2012-09-11,87,71
Total War: Shogun 2 - Fall of the Samurai,PC,Creative Assembly,Strategy,T,2012-03-22,86,85
Football Manager 2013,PC,Sports Interactive,Sports,,2012-11-01,86,68
Black Mesa,PC,Black Mesa Modification Team,Action,,2012-09-14,86,89
FIFA Soccer 13,PC,Electronic Arts,Sports,E,2012-09-25,86,66
Tribes: Ascend,PC,Hi-Rez Studios,Action,T,2012-04-12,86,78
Rayman Origins,PC,UBlart Montpellier,Action,E10+,2012-03-29,86,84
Crashmo,3DS,Intelligent Systems,Miscellaneous,E,2012-11-22,86,83
Tales From Space: Mutant Blobs Attack,VITA,DrinkBox Studios,Action,E10+,2012-02-21,86,83
Mass Effect 3: Special Edition,WIIU,Straight Right,Action RPG,M,2012-11-13,85,76
Assassin's Creed III,WIIU,Ubisoft Quebec,Action Adventure,M,2012-11-18,85,72
Hotline Miami,PC,Dennaton,Action,M,2012-10-23,85,86
Out of the Park Baseball 13,PC,Out Of The Park Developments,Sports,,2012-04-09,85,78
Dark Souls: Prepare to Die Edition,PC,From Software,Role-Playing,M,2012-08-24,85,76
NBA 2K13,WIIU,Visual Concepts,Sports,E,2012-11-18,85,71
Sine Mora,VITA,"Digital Reality, Grasshopper Manufacture",Action,M,2012-11-20,85,72
The Walking Dead: Episode 3 - Long Road Ahead,PC,Telltale Games,Miscellaneous,M,2012-08-29,85,84
Darksiders II,WIIU,Vigil Games,Modern,M,2012-11-18,85,81
Mortal Kombat,VITA,NetherRealm Studios,Action,M,2012-05-01,85,78
Batman: Arkham City - Armored Edition,WIIU,"Rocksteady Studios, WB Games Montreal",Action Adventure,T,2012-11-18,85,84
The Walking Dead: Episode 2 - Starved for Help,PC,Telltale Games,Miscellaneous,M,2012-06-29,84,86
Pinball FX 2,PC,Zen Studios,Action,E,2012-10-27,84,77
PlanetSide 2,PC,Sony Online Entertainment,Role-Playing,T,2012-11-20,84,70
Sound Shapes,VITA,SCEA,Action,E,2012-08-07,84,78
Trine 2: Director's Cut,WIIU,"Frozenbyte, Inc.",Action,E10+,2012-11-18,84,80
FTL: Faster Than Light,PC,Subset Games,Simulation,,2012-09-14,84,84
New Super Mario Bros. U,WIIU,Nintendo,Action,E,2012-11-18,84,80
Zero Escape: Virtue's Last Reward,VITA,ChunSoft,Adventure,M,2012-10-23,84,88
Kid Icarus: Uprising,3DS,"Opus, Project Sora",Action Adventure,E10+,2012-03-23,83,88
Tekken Tag Tournament 2: Wii U Edition,WIIU,Namco Bandai Games,Action,T,2012-11-18,83,80
Lumines: Electronic Symphony,VITA,Q Entertainment,Miscellaneous,E,2012-02-15,83,79
Oddworld: Stranger's Wrath HD,VITA,Just Add Water,Action Adventure,T,2012-12-18,83,82
Orcs Must Die! 2,PC,Robot Entertainment,Action,T,2012-07-30,83,79
Alan Wake,PC,Remedy Entertainment,Action Adventure,T,2012-02-16,83,80
Gravity Rush,VITA,SCE Japan Studio,Action,T,2012-06-12,83,86
Superbrothers: Sword & Sworcery EP,PC,Capy Games,Adventure,,2012-04-16,83,64
Counter-Strike: Global Offensive,PC,"Valve Software, Hidden Path Entertainment",Action,M,2012-08-21,83,75
BlazBlue: Continuum Shift Extend,VITA,Arc System Works,Action,T,2012-02-14,83,75
Resident Evil: Revelations,3DS,Capcom,Action Adventure,M,2012-02-07,82,84
Professor Layton and the Miracle Mask,3DS,Level 5,Puzzle,E10+,2012-10-28,82,81
